,Company,Date Joined,Industry,City,Continent,Year Founded,Funding,Valuation (March) ($B),Select Investors (March),Valuation (November) ($B),Select Investors (November)
274,Starburst,2021-01-06,Data management & analytics,Boston,North America,1999,$414M,3.0,"Index Ventures, Coatue Management, Andreessen Horowitz",3.1652201257861634,"Index Ventures, Coatue Management, Andreessen Horowitz"
275,Youxia Motors,2018-04-02,Auto & transportation,Shanghai,Asia,2014,$1B,3.0,"China Environmental Protection Industry, China Fortune Ocean",3.35,"China Environmental Protection Industry, China Fortune Ocean"
276,Zetwerk,2021-08-20,Internet software & services,Bengaluru,Asia,2018,$543M,3.397312859884837,"Sequoia Capital India, Kae Capital, Accel",2.68,"Sequoia Capital India, Kae Capital, Accel"
277,Cars24,2020-11-24,E-commerce & direct-to-consumer,Gurgaon,Asia,2015,$1B,3.0,"Moore Strategic Ventures, DST Global, Sequoia Capital India",3.1652201257861634,"Moore Strategic Ventures, DST Global, Sequoia Capital India"
278,Ethos,2021-05-11,Fintech,San Francisco,North America,2016,$407M,3.0,"Sequoia Capital, Google Ventures, Accel",3.1652201257861634,"Sequoia Capital, Google Ventures, Accel"
279,Komodo Health,2020-05-22,Health,San Francisco,North America,2014,$314M,3.0,"Andreessen Horowitz, IA Ventures, Felicis Ventures",3.3,"Andreessen Horowitz, IA Ventures, Felicis Ventures"
280,Nextiva,2021-09-14,Internet software & services,Scottsdale,North America,2008,$200M,3.0,Goldman Sachs Asset Management,2.7,Goldman Sachs Asset Management
281,o9 Solutions,2020-04-28,Artificial intelligence,Dallas,North America,2009,$417M,3.0,KKR,3.1652201257861634,KKR
282,Scopely,2019-10-29,Mobile & telecommunications,Culver City,North America,2011,$999M,3.0,"Greycroft, Sands Capital, Revolution Growth",3.3,"Greycroft, Sands Capital, Revolution Growth"
283,Sila Nanotechnologies,2019-04-16,Other,Alameda,North America,2011,$880M,3.0,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",3.3,"Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners"
284,Via,2020-03-30,Auto & transportation,New York,North America,2012,$777M,3.397312859884837,"83North, RiverPark Ventures, Pitango Venture Capital",3.3,"83North, RiverPark Ventures, Pitango Venture Capital"
285,Transmit Security,2021-06-22,Cybersecurity,Tel Aviv,Asia,2014,$583M,3.0,"General Atlantic, Insight Partners, Vintage Investment Partners",3.1652201257861634,"General Atlantic, Insight Partners, Vintage Investment Partners"
286,BlockDaemon,2021-09-21,Fintech,Los Angeles,North America,2016,$398M,3.397312859884837,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital",3.25,"BOLDstart Ventures, Lerer Hippeau, Kenetic Capital"
287,Convoy,2018-09-21,"Supply chain, logistics, & delivery",Seattle,North America,2015,$666M,3.397312859884837,"Greylock Partners, capitalG, Y Combinator",3.8,"Greylock Partners, capitalG, Y Combinator"
288,Dream Games,2021-06-30,Mobile & telecommunications,Istanbul,Europe,2019,$468M,3.397312859884837,"Makers Fund, Index Ventures, Inova Ventures Participacees",2.75,"Makers Fund, Index Ventures, Inova Ventures Participacees"
289,Illumio,2015-04-14,Cybersecurity,Sunnyvale,North America,2013,$558M,3.0,"Data Collective, Formation 8, General Catalyst Partners",3.1652201257861634,"Data Collective, Formation 8, General Catalyst Partners"
290,MasterClass,2021-05-13,Edtech,San Francisco,North America,2015,$461M,3.397312859884837,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners",2.75,"Institutional Venture Partners, New Enterprise Associates, Javelin Venture Partners"
291,Graphcore,2018-12-18,Artificial intelligence,Bristol,Europe,2016,$682M,3.397312859884837,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners",2.77,"Dell Technologies Capital, Pitango Venture Capital, Amadeus Capital Partners"
292,ApplyBoard,2020-05-05,Edtech,Kitchener,North America,2015,$483M,3.397312859884837,"Artiman Ventures, Plug and Play Ventures, Anthos Capital",3.2,"Artiman Ventures, Plug and Play Ventures, Anthos Capital"
293,Blockstream,2021-08-24,Fintech,Vancouver,North America,2014,$299M,3.0,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital",3.2,"AME Cloud Ventures, Future Perfect Ventures, Blockchain Capital"
294,Cedar,2021-03-09,Fintech,New York,North America,2016,$326M,3.0,"Thrive Capital, Founders Fund, Cocnord Health Partners",3.1652201257861634,"Thrive Capital, Founders Fund, Cocnord Health Partners"
295,ContentSquare,2021-05-25,Internet software & services,Paris,Europe,2012,$812M,3.0,"Highland Europe, Eurazeo, Canaan Partners",5.6,"Highland Europe, Eurazeo, Canaan Partners"
296,Eruditus Executive Education,2021-08-12,Edtech,Mumbai,Asia,2010,$591M,3.0,"Sequoia Capital India, Softbank, Bertelsmann India Investments",3.2,"Sequoia Capital India, Softbank, Bertelsmann India Investments"
297,Innovaccer,2021-02-19,Health,San Francisco,North America,2014,$379M,3.397312859884837,"M12, WestBridge Capital, Lightspeed Venture Partners",3.2,"M12, WestBridge Capital, Lightspeed Venture Partners"
298,Ironclad,2022-01-18,Internet software & services,Sacramento,North America,2014,$334M,3.0,"Accel, Sequoia Capital, Y Combinator",3.1652201257861634,"Accel, Sequoia Capital, Y Combinator"
299,Skims,2021-04-09,E-commerce & direct-to-consumer,Los Angeles,North America,2019,$399M,3.397312859884837,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures",3.2,"Thrive Capital, Alliance Consumer Growth, Imaginary Ventures"
300,Thumbtack,2015-09-29,E-commerce & direct-to-consumer,San Francisco,North America,2008,$698M,3.0,"Tiger Global, Sequoia Capital, Google Capital",3.2,"Tiger Global, Sequoia Capital, Google Capital"
301,Zipline,2019-05-20,"Supply chain, logistics, & delivery",South San Francisco,North America,2014,$483M,3.0,"Sequoia Capital, Baillie Gifford & Co., Google Ventures",3.1652201257861634,"Sequoia Capital, Baillie Gifford & Co., Google Ventures"
302,DriveWealth,2021-08-20,Fintech,Chatham,North America,2012,$551M,3.397312859884837,"Point72 Ventures, Route 66 Ventures, Accel",2.85,"Point72 Ventures, Route 66 Ventures, Accel"
303,PsiQuantum,2021-07-27,Hardware,Palo Alto,North America,2016,$665M,3.0,"Playground Global, M12, BlackRock",3.15,"Playground Global, M12, BlackRock"
304,SpotOn,2021-05-26,Fintech,San Francisco,North America,2017,$628M,3.397312859884837,"Dragoneer Investment Group, DST Global, Franklin Templeton",3.6,"Dragoneer Investment Group, DST Global, Franklin Templeton"
305,Gorillas,2021-03-25,E-commerce & direct-to-consumer,Berlin,Europe,2020,$1B,3.0,"Coatue Management, Atlantic Food Labs, DST Global",3.1652201257861634,"Coatue Management, Atlantic Food Labs, DST Global"
306,HighRadius,2020-01-07,Fintech,Houston,North America,2006,$475M,3.397312859884837,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital",3.1,"Susquehanna Growth Equity, Citi Ventures, ICONIQ Capital"
307,Loft,2020-01-03,E-commerce & direct-to-consumer,Sao Paulo,South America,2018,$788M,3.0,"Monashees+, Andreessen Horowitz, QED Investors",2.9,"Monashees+, Andreessen Horowitz, QED Investors"
308,Nuvemshop,2021-08-17,E-commerce & direct-to-consumer,Sao Paulo,South America,2011,$628M,3.397312859884837,"Kaszek Ventures, Qualcomm Ventures, Accel",3.1,"Kaszek Ventures, Qualcomm Ventures, Accel"
309,Udaan,2018-09-04,"Supply chain, logistics, & delivery",Bengaluru,Asia,2016,$1B,3.0,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp",3.1,"DST Global, Lightspeed Venture Partners, Microsoft ScaleUp"
310,Workrise,2019-09-30,Internet software & services,Austin,North America,2014,$722M,3.397312859884837,"Founders Fund, Quantum Energy Partners, Bedrock Capital",2.9,"Founders Fund, Quantum Energy Partners, Bedrock Capital"
311,ActiveCampaign,2021-04-21,Internet software & services,Chicago,North America,2003,$360M,3.397312859884837,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management",3.0,"Silversmith Capital Partners, Susquehanna Growth Equity, Tiger Global Management"
312,Age of Learning,2016-05-03,Edtech,Glendale,North America,2007,$500M,3.397312859884837,Iconiq Capital,3.0,Iconiq Capital
313,Amber Group,2021-06-21,Fintech,,Asia,2015,$328M,3.397312859884837,"Tiger Global Management, Tiger Brokers, DCM Ventures",3.0,"Tiger Global Management, Tiger Brokers, DCM Ventures"
314,Anchorage Digital,2021-12-15,Fintech,San Francisco,North America,2017,$487M,3.397312859884837,"Andreessen Horowitz, Blockchain Capital, Lux Capital",3.0,"Andreessen Horowitz, Blockchain Capital, Lux Capital"
315,BlockFi,2021-03-11,Fintech,Jersey City,North America,2017,$1B,3.0,"ConsenSys Ventures, Valar Ventures, PUC",3.0,"ConsenSys Ventures, Valar Ventures, PUC"
316,Calendly,2021-01-26,Internet software & services,Atlanta,North America,2013,$351M,3.397312859884837,"ICONIQ Capital, OpenView Venture Partners",3.0,"ICONIQ Capital, OpenView Venture Partners"
317,Carbon Health,2021-07-21,Health,San Francisco,North America,2015,$523M,3.0,"Brookfield Asset Management, Blackstone, Data Collective",3.1652201257861634,"Brookfield Asset Management, Blackstone, Data Collective"
318,Circle,2018-05-15,FinTech,Boston,North America,2013,$711M,3.0,"General Catalyst, Digital Currency Group, Accel",3.0,"General Catalyst, Digital Currency Group, Accel"
319,CMR Surgical,2019-09-17,Health,Cambridge,Europe,2014,$975M,3.0,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital",3.0,"Cambridge Innovation Capital, LGT Capital Partners, Escala Capital"
320,Contentful,2021-07-28,Internet software & services,Berlin,Europe,2013,$333M,3.397312859884837,"Balderton Capital, General Catalyst, Tiger Global Management",3.0,"Balderton Capital, General Catalyst, Tiger Global Management"
321,Cross River Bank,2022-02-11,Fintech,Fort Lee,North America,2008,$775M,3.397312859884837,"Battery Ventures, Andreessen Horowitz, Ribbit Capital",3.0,"Battery Ventures, Andreessen Horowitz, Ribbit Capital"
322,Flutterwave,2021-03-09,FinTech,San Francisco,North America,2016,$474M,3.0,"Green Visor Capital, CRE Venture Capital, Greycroft",3.1652201257861634,"Green Visor Capital, CRE Venture Capital, Greycroft"
323,Forter,2020-11-19,Cybersecurity,New York,North America,2013,$525M,3.397312859884837,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures",3.0,"Sequoia Capital Israel, Scale Venture Partners, Commerce Ventures"
324,Grafana Labs,2021-03-25,Internet software & services,New York,North America,2014,$535M,3.0,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management",3.1652201257861634,"Lightspeed Venture Partners, Lead Edge Capital, Coatue Management"
325,Groww,2021-04-07,Fintech,Bengaluru,Asia,2017,$393M,3.0,"Tiger Global Management, Sequoia Capital India, Ribbit Capital",3.0,"Tiger Global Management, Sequoia Capital India, Ribbit Capital"
326,Inxeption,2022-01-13,FinTech,San Francisco,North America,2017,$187M,3.397312859884837,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors",3.0,"Coatue Management, BMO Capital, Schonfeld Strategic Advisors"
327,KK Group,2019-10-23,E-commerce & direct-to-consumer,Dongguan,Asia,2014,$612M,3.0,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",3.0,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group"
328,Lattice,2021-03-23,Internet software & services,San Francisco,North America,2015,$329M,3.397312859884837,"Khosla Ventures, Thrive Capital, Y Combinator",3.0,"Khosla Ventures, Thrive Capital, Y Combinator"
329,LaunchDarkly,2021-08-10,Internet software & services,Oakland,North America,2014,$330M,3.0,"Uncork Capital, Threshold Ventures, Bloomberg Beta",3.1652201257861634,"Uncork Capital, Threshold Ventures, Bloomberg Beta"
330,Outschool,2021-04-14,Edtech,San Francisco,North America,2015,$240M,3.397312859884837,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital",3.0,"Uniion Square Ventures, Tiger Global Management, Lightspeed Venture Capital"
331,Podium,2020-04-07,Internet software & services,Lehi,North America,2014,$419M,3.397312859884837,"Accel, Summit Partners, Google Ventures",3.0,"Accel, Summit Partners, Google Ventures"
332,Remote,2021-07-13,Fintech,San Francisco,North America,2016,$496M,3.397312859884837,"Index Ventures, Sequoia Capital, General Catalyst",3.0,"Index Ventures, Sequoia Capital, General Catalyst"
333,Seismic,2018-12-18,Internet software & services,San Diego,North America,2010,$427M,3.397312859884837,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",3.0,"Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners"
334,Sky Mavis,2021-10-04,Internet software & services,Ho Chi Minh City,Asia,2019,$311M,3.0,"Fabric Ventures, 500 Global, Standard Crypto",3.1652201257861634,"Fabric Ventures, 500 Global, Standard Crypto"
335,SouChe Holdings,2017-11-01,E-commerce & direct-to-consumer,Hangzhou,Asia,2012,$1B,3.397312859884837,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",3.0,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund"
336,TradingView,2021-10-14,Fintech,Westerville,North America,2011,$339M,3.397312859884837,"Tiger Global Management, Insight Partners, Jump Capital",3.0,"Tiger Global Management, Insight Partners, Jump Capital"
337,Traveloka,2017-01-01,Travel,Jakarta,Asia,2012,$1B,3.397312859884837,"Global Founders Capital, East Ventures, Expedia Inc.",3.0,"Global Founders Capital, East Ventures, Expedia Inc."
338,wefox,2019-03-05,Fintech,Berlin,Europe,2014,$919M,3.0,"Salesforce Ventures, Seedcamp, OMERS Ventures",4.5,"Salesforce Ventures, Seedcamp, OMERS Ventures"
339,Wildlife Studios,2019-12-05,Other,Sao Paulo,South America,2011,$180M,3.0,"Benchmark, Bessemer Venture Partners",3.1652201257861634,"Benchmark, Bessemer Venture Partners"
340,1047 Games,2021-09-14,Internet software & services,Zephyr Cove,North America,2017,$127M,3.397312859884837,"VGames, Lakestar, Galaxy Interactive",1.5,"VGames, Lakestar, Galaxy Interactive"
341,Baiwang,2019-03-25,Fintech,Beijing,Asia,2015,$224M,2.0,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital",1.55,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
342,Boba,2022-04-05,Fintech,San Francisco,North America,2018,$45M,2.0,"DeFi Technologies, Hypersphere Ventures, M13",3.1652201257861634,"DeFi Technologies, Hypersphere Ventures, M13"
343,Cambridge Mobile Telematics,2018-12-19,Mobile & telecommunications,Cambridge,North America,2010,$503M,3.397312859884837,SoftBank Group,1.5,SoftBank Group
344,Carzone,2019-03-01,E-commerce & direct-to-consumer,Jiangsu,Asia,1995,$946M,2.0,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital",1.52,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital"
345,CFGI,2021-09-15,Fintech,Boston,North America,2000,$19M,2.0,"The Carlyle Group, CVC Capital Partners",1.85,"The Carlyle Group, CVC Capital Partners"
346,Cgtz,2017-02-21,Fintech,Hangzhou,Asia,2014,$536M,2.0,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund",2.41,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
347,Changingedu,2017-10-30,Edtech,Shanghai,Asia,2014,$188M,2.0,"Trustbridge Partners, IDG Capital, Sequoia Capital China",3.1652201257861634,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
348,eDaili,2019-02-01,E-commerce & direct-to-consumer,Shanghai,Asia,2015,$101M,3.397312859884837,"K2VC, Lightspeed China Partners, Sky9 Capital",1.9,"K2VC, Lightspeed China Partners, Sky9 Capital"
349,ENOVATE,2019-04-15,Auto & transportation,Shanghai,Asia,2015,$1B,2.0,Automobile Industry Guidance Fund,3.1652201257861634,Automobile Industry Guidance Fund
350,Fenbi Education,2021-02-07,Edtech,Beijing,Asia,2015,$390M,3.397312859884837,"Trustbridge Partners, Hony Capital, IDG Capital",1.95,"Trustbridge Partners, Hony Capital, IDG Capital"
351,Hesai Tech,2020-08-01,Artificial intelligence,Shanghai,Asia,2013,$717M,3.397312859884837,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners",2.18,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners"
352,Il Makiage,2022-01-10,E-commerce & direct-to-consumer,New York,North America,2018,$29M,3.397312859884837,"L Catterton, Franklin Templeton, First Light Capital Group",1.5,"L Catterton, Franklin Templeton, First Light Capital Group"
353,Iluvatar CoreX,2021-03-01,Hardware,Shanghai,Asia,2015,$186M,3.397312859884837,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital",1.55,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital"
354,Jusfoun Big Data,2018-07-09,Data management & analytics,Beijing,Asia,2010,$137M,3.397312859884837,"Boxin Capital, DT Capital Partners, IDG Capital",1.62,"Boxin Capital, DT Capital Partners, IDG Capital"
355,PolicyBazaar,2019-05-06,Fintech,Gurgaon,Asia,2008,$634M,3.397312859884837,"Info Edge, Softbank Capital",2.4,"Info Edge, Softbank Capital"
356,Promasidor Holdings,2016-11-08,Consumer & retail,Bryanston,Asia,1979,$556M,2.0,"IFC, Ajinomoto",1.59,"IFC, Ajinomoto"
357,Tubatu.com,2015-03-09,E-commerce & direct-to-consumer,Shenzhen,Asia,2008,$216M,3.397312859884837,"Sequoia Capital China, Matrix Partners China, 58.com",2.0,"Sequoia Capital China, Matrix Partners China, 58.com"
358,Ximalaya FM,2017-09-22,Mobile & telecommunications,Shanghai,Asia,2012,$71M,3.397312859884837,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management",1.52,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
359,HEYTEA,2019-07-01,Other,Shenzhen,Asia,2012,$594M,2.0,"Sequoia Capital China, Tencent Investment, BA Capital",3.1652201257861634,"Sequoia Capital China, Tencent Investment, BA Capital"
360,BGL Group,2017-11-24,Fintech,Peterborough,Europe,1992,$696M,3.397312859884837,CPP Investment Board,3.0,CPP Investment Board
361,Claroty,2021-06-17,Cybersecurity,New York,North America,2015,$640M,3.397312859884837,"Bessemer Venture Partners, MoreVC, Team8",1.0,"Bessemer Venture Partners, MoreVC, Team8"
362,Improbable,2017-05-11,Other,London,Europe,2012,$754M,3.397312859884837,"Andreessen Horowitz, SoftBank Group, Temasek Holdings",3.36,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
363,InMobi,2014-12-02,Mobile & telecommunications,Bengaluru,Asia,2007,$221M,2.0,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures",1.0,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
364,MindMaze,2016-01-28,Health,Lausanne,Europe,2012,$340M,2.0,Hinduja Group,1.0,Hinduja Group
365,Ninja Van,2021-09-27,"Supply chain, logistics, & delivery",,Asia,2014,$975M,2.0,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution",3.1652201257861634,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
366,Pantheon Systems,2021-07-13,Internet software & services,San Francisco,North America,2010,$200M,3.397312859884837,"Foundry Group, Scale Venture Partners, SoftBank Group",1.0,"Foundry Group, Scale Venture Partners, SoftBank Group"
367,SellerX,2021-12-09,E-commerce & direct-to-consumer,Berlin,Europe,2020,$766M,2.0,"Cherry Ventures, Felix Capital, 83North",1.0,"Cherry Ventures, Felix Capital, 83North"
368,AppDirect,2015-10-07,E-commerce & direct-to-consumer,San Francisco,North America,2009,$431M,3.397312859884837,"Mithril, iNovia Capital, Foundry Group",1.1,"Mithril, iNovia Capital, Foundry Group"
369,BrewDog,2017-04-10,Consumer & retail,Aberdeen,Europe,2007,$233M,2.0,"TSG Consumer Partners, Crowdcube",3.1652201257861634,"TSG Consumer Partners, Crowdcube"
370,BrewDog,2017-04-10,Consumer & retail,Aberdeen,Europe,2007,$233M,3.397312859884837,TSG Consumer Partners,1.24,"TSG Consumer Partners, Crowdcube"
371,Enflame,2021-01-05,Hardware,Shanghai,Asia,2018,$472M,3.397312859884837,"Tencent Holdings, Delta Capital, Redpoint Ventures China",1.24,"Tencent Holdings, Delta Capital, Redpoint Ventures China"
372,Tradeshift,2018-05-30,Fintech,San Francisco,North America,2009,$861M,2.0,"Notion Capital, Scentan Ventures, Kite Ventures",2.7,"Notion Capital, Scentan Ventures, Kite Ventures"
373,HeartFlow,2017-12-04,Health,Redwood City,North America,2007,$568M,2.0,"BlueCross BlueShield Venture Partners, US Venture Partners",1.3,"BlueCross BlueShield Venture Partners, US Venture Partners"
374,Extend,2021-05-18,Fintech,San Francisco,North America,2004,$320M,3.397312859884837,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures",1.36,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
375,Airbyte,2021-12-17,Internet software & services,San Francisco,North America,2020,$181M,2.0,"Accel, Benchmark, SV Angel",3.1652201257861634,"Accel, Benchmark, SV Angel"
376,Andela,2021-09-29,Internet software & services,New York,North America,2014,$381M,3.397312859884837,"Spark Capital, Google Ventures, CRE Venture Capital",1.5,"Spark Capital, Google Ventures, CRE Venture Capital"
377,Ascend Money,2021-09-27,Fintech,Bangkok,Asia,2013,$150M,2.0,"Ant Group, Charoen Pokphand Group, Bow Wave Capital",1.5,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
378,Athelas,2022-01-31,Health,Mountain View,North America,2016,$150M,2.0,"Sequoia Capital, General Catalyst, Human Capital",3.1652201257861634,"Sequoia Capital, General Catalyst, Human Capital"
379,Built,2021-09-30,Internet software & services,Nashville,North America,2015,$289M,3.397312859884837,"Nyca Partners, Index Ventures, Technology Crossover Ventures",1.5,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
380,candy.com,2021-10-21,Fintech,New York,North America,2021,$100M,3.397312859884837,"Insight Partners, Softbank Group, Connect Ventures",1.5,"Insight Partners, Softbank Group, Connect Ventures"
381,Cognite,2021-05-19,Data management & analytics,Lysaker,Europe,2016,$225M,2.0,"Technology Crossover Ventures, Accel, Aker",3.1652201257861634,"Technology Crossover Ventures, Accel, Aker"
382,CoinList,2021-10-15,Fintech,San Francisco,North America,2017,$119M,3.397312859884837,"Accomplice, Polychain Capital, GoldenTree Asset Management",1.5,"Accomplice, Polychain Capital, GoldenTree Asset Management"
383,Collective Health,2019-06-17,Fintech,San Francisco,North America,2013,$719M,3.397312859884837,"New Enterprise Associates, Founders Fund, Google Ventures",1.5,"New Enterprise Associates, Founders Fund, Google Ventures"
384,Culture Amp,2021-07-29,Internet software & services,Richmond,Oceania,2011,$257M,2.0,"Felicis Ventures, Index Ventures, Blackbird Ventures",3.1652201257861634,"Felicis Ventures, Index Ventures, Blackbird Ventures"
385,ElasticRun,2022-02-07,"Supply chain, logistics, & delivery",Pune,Asia,2016,$435M,3.397312859884837,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures",1.5,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures"
386,Gett,2016-05-24,Auto & transportation,London,Europe,2010,$828M,3.397312859884837,"Volkswagen, Access Industries, Vostok New Ventures",1.5,"Volkswagen, Access Industries, Vostok New Ventures"
387,ID.me,2021-03-19,Cybersecurity,McLean,North America,2010,$142M,3.397312859884837,"Moonshots Capital, BoxGroup, Blu Venture Investors",1.5,"Moonshots Capital, BoxGroup, Blu Venture Investors"
388,impact.com,2021-07-13,Internet software & services,Santa Barbara,North America,2008,$261M,2.0,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners",1.5,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
389,Ledger,2021-06-10,Hardware,Paris,Europe,2014,$466M,2.0,"Digital Currency Group, Draper Esprit, Korelya Capital",3.1652201257861634,"Digital Currency Group, Draper Esprit, Korelya Capital"
390,Lusha,2021-11-10,Internet software & services,New York,North America,2016,$245M,3.397312859884837,"PSG, ION Crossover Partners",1.5,"PSG, ION Crossover Partners"
391,Matillion,2021-09-15,Data management & analytics,Altrincham,Europe,2011,$310M,2.0,"Scale Venture Partners, Sapphire Ventures, Battery Ventures",1.5,"Scale Venture Partners, Sapphire Ventures, Battery Ventures"
392,MOLOCO,2021-04-29,Artificial intelligence,Redwood City,North America,2013,$192M,2.0,"Smilegate Investment, DSC Investments, KTB Ventures",3.1652201257861634,"Smilegate Investment, DSC Investments, KTB Ventures"
393,Mu Sigma,2013-02-07,Data management & analytics,Northbrook,North America,2004,$211M,3.397312859884837,"Sequoia Capital, General Atlantic",1.5,"Sequoia Capital, General Atlantic"
394,Next Silicon,2021-06-14,Hardware,Tel Aviv,Asia,2018,$203M,2.0,"Amiti Ventures, Playground Global, Aleph",1.5,"Amiti Ventures, Playground Global, Aleph"
395,NotCo,2021-07-26,Artificial Intelligence,Santiago,South America,2015,$370M,3.397312859884837,"Kaszek Ventures, SOSV, Tiger Global Management",1.5,"Kaszek Ventures, SOSV, Tiger Global Management"
396,Olist,2021-12-15,E-commerce & direct-to-consumer,Curitiba,South America,2015,$320M,3.397312859884837,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund",1.5,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund"
397,Pacaso,2021-03-24,Fintech,Cincinnati,North America,2020,$217M,3.397312859884837,"Global Founders Capital, Shea Ventures, Greycroft",1.5,"Global Founders Capital, Shea Ventures, Greycroft"
398,Paradox,2021-12-27,Internet software & services,Scottsdale,North America,2016,$253M,3.397312859884837,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures",1.5,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
399,Persona,2021-09-15,Cybersecurity,San Francisco,North America,2018,$218M,2.0,"Coatue Management, Index Ventures, Founders Fund",3.1652201257861634,"Coatue Management, Index Ventures, Founders Fund"
400,SmartRecruiters,2021-07-20,Internet software & services,San Francisco,North America,2010,$225M,3.397312859884837,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners",1.5,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
401,Snapdocs,2021-05-25,Fintech,San Francisco,North America,2012,$253M,2.0,"Sequoia Capital, Y Combinator, F-Prime Capital",1.5,"Sequoia Capital, Y Combinator, F-Prime Capital"
402,Solugen,2021-09-10,Other,Houston,North America,2016,$435M,3.397312859884837,"Fifty Years Fund, Refactor Capital, Temasek",2.0,"Fifty Years Fund, Refactor Capital, Temasek"
403,StoreDot,2022-01-04,Other,Herzliya,Asia,2012,$190M,2.0,"Samsung Ventures, SingulariTeam, BP Ventures",1.5,"Samsung Ventures, SingulariTeam, BP Ventures"
404,Strava,2020-11-16,Internet software & services,San Francisco,North America,2009,$152M,3.397312859884837,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital",1.5,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
405,Temporal,2022-02-16,Internet software & services,Bellevue,North America,2019,$129M,2.0,"Amplify Partners, Addition, Madrona Venture Group",1.5,"Amplify Partners, Addition, Madrona Venture Group"
406,TuJia,2015-06-17,Travel,Beijing,Asia,2011,$755M,2.0,"GGV Capital, QiMing Venture Partnersl",1.5,"GGV Capital, QiMing Venture Partnersl"
407,Uplight,2021-03-03,Other,Boulder,North America,2019,Unknown,2.0,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners",1.5,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
408,Veho,2021-12-21,"Supply chain, logistics, & delivery",Boulder,North America,2016,$299M,3.397312859884837,"General Catalyst, Origin Ventures, Fontinalis Partners",1.5,"General Catalyst, Origin Ventures, Fontinalis Partners"
409,Veriff,2022-01-26,Artificial intelligence,Tallinn,Europe,2015,$177M,2.0,"Accel, Institutional Venture Partners, Tiger Global Management",1.5,"Accel, Institutional Venture Partners, Tiger Global Management"
